Position [a1] de Pivot1 % Position [a1] de Pivot6
a1(rad) / a1(rad)
a1(rad)      a1(rad)     
0.000000 0.000000
-1.822124 0.030310
-3.644247 0.059682
-5.466371 0.088204
-7.288495 0.115952
-9.110619 0.142991
-10.932742 0.169378
-12.754866 0.195162
-14.576990 0.220388
-16.399114 0.245094
-18.221237 0.269315
-20.043361 0.293083
-21.865485 0.316426
-23.687609 0.339368
-25.509732 0.361933
-27.331856 0.384143
-29.153980 0.406016
-30.976104 0.427570
-32.798227 0.448821
-34.620351 0.469785
-36.442475 0.490475
-38.264599 0.510905
-40.086722 0.531086
-41.908846 0.551029
-43.730970 0.570745
-45.553093 0.590244
-47.375217 0.609534
-49.197341 0.628625
-51.019465 0.647525
-52.841588 0.666240
-54.663712 0.684779
-56.485836 0.703147
-58.307960 0.721353
-60.130083 0.739400
-61.952207 0.757297
-63.774331 0.775047
-65.596455 0.792656
-67.418578 0.810129
-69.240702 0.827471
-71.062826 0.844686
-72.884950 0.861779
-74.707073 0.878754
-76.529197 0.895615
-78.351321 0.912365
-80.173445 0.929009
-81.995568 0.945550
-83.817692 0.961991
-85.639816 0.978336
-87.461939 0.994588
-89.284063 1.010749
-91.106187 1.026824
-92.928311 1.042814
-94.750434 1.058722
-96.572558 1.074552
-98.394682 1.090306
-100.216806 1.105985
-102.038929 1.121594
-103.861053 1.137135
-105.683177 1.152609
-107.505301 1.168019
-109.327424 1.183367
-111.149548 1.198656
-112.971672 1.213888
-114.793796 1.229065
-116.615919 1.244188
-118.438043 1.259262
-120.260167 1.274286
-122.082291 1.289264
-123.904414 1.304197
-125.726538 1.319088
-127.548662 1.333939
-129.370785 1.348751
-131.192909 1.363527
-133.015033 1.378269
-134.837157 1.392979
-136.659280 1.407659
-138.481404 1.422310
-140.303528 1.436937
-142.125652 1.451539
-143.947775 1.466121
-145.769899 1.480683
-147.592023 1.495229
-149.414147 1.509760
-151.236270 1.524280
-153.058394 1.538791
-154.880518 1.553295
-156.702642 1.567796
-158.524765 1.582297
-160.346889 1.596799
-162.169013 1.611308
-163.991137 1.625825
-165.813260 1.640356
-167.635384 1.654903
-169.457508 1.669472
-171.279631 1.684065
-173.101755 1.698689
-174.923879 1.713349
-176.746003 1.728050
-178.568126 1.742798
-180.390250 1.757600
-182.212374 1.772465

Valeur mini ordonnée    = 0.000000
Valeur maxi ordonnée    = 1.772465
